

"Population and dwelling counts (11)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
"Canada 2","36,991,981","35,151,728","5.2","16,284,235","15,412,443","5.7","14,978,941","14,072,079","6.4","8,788,702.80","4.2"
"Newfoundland and Labrador","510,550","519,716","-1.8","269,184","265,739","1.3","223,253","218,673","2.1","358,170.37","1.4"
"Prince Edward Island","154,331","142,907","8.0","74,934","71,119","5.4","64,570","59,472","8.6","5,681.18","27.2"
"Nova Scotia","969,383","923,598","5.0","476,007","458,568","3.8","428,228","401,990","6.5","52,824.71","18.4"
"New Brunswick","775,610","747,101","3.8","366,146","359,721","1.8","337,651","319,773","5.6","71,248.50","10.9"
"Quebec 2","8,501,833","8,164,361","4.1","4,050,164","3,858,943","5.0","3,749,035","3,531,663","6.2","1,298,599.75","6.5"
"Ontario 2","14,223,942","13,448,494","5.8","5,929,250","5,598,391","5.9","5,491,201","5,169,174","6.2","892,411.76","15.9"
"Manitoba 2","1,342,153","1,278,365","5.0","571,528","539,748","5.9","518,054","489,050","5.9","540,310.19","2.5"
"Saskatchewan 2","1,132,505","1,098,352","3.1","513,725","495,582","3.7","449,581","432,622","3.9","577,060.40","2.0"
"Alberta 2","4,262,635","4,067,175","4.8","1,772,670","1,654,129","7.2","1,633,220","1,527,678","6.9","634,658.27","6.7"
"British Columbia 2","5,000,879","4,648,055","7.6","2,211,694","2,063,417","7.2","2,041,834","1,881,969","8.5","920,686.55","5.4"
"Yukon","40,232","35,874","12.1","19,610","17,987","9.0","17,181","15,215","12.9","472,345.44","0.1"
"Northwest Territories","41,070","41,786","-1.7","17,603","17,666","-0.4","15,207","14,981","1.5","1,127,711.92","0.0"
"Nunavut","36,858","35,944","2.5","11,720","11,433","2.5","9,926","9,819","1.1","1,836,993.78","0.0"



